Mon,FarASName,FarASN,FarIP,NearIP,far_p,near_p,far_diff,near_diff,code,far_cong_loss_rate,far_uncong_loss_rate,near_cong_loss_rate,near_uncong_loss_rate,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.77,68.1.0.250,1,0.001,0.266,0.078,success-CorrelationNotSignificant,0.854,0.588,0.776,0.4,05_01_2017_05_31_2017,293273,2293,4252050204,17095787,2495,289708,19661729,3322730732
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.85,68.1.0.250,1,0.042,0.113,-0.042,success-CorrelationNotSignificant,0.564,0.451,0.606,0.4,05_01_2017_05_31_2017,273308,1666,3747269038,15054674,1542,272006,14516351,3202009752
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.89,68.1.0.254,1,0,0.615,0.237,success-CorrelationNotSignificant,1.049,0.434,0.812,0.505,05_01_2017_05_31_2017,340321,2785,2700499578,13704797,1106,104287,4566532,1048307507
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.93,68.1.2.109,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,LEVEL3 Level 3 Communications,3356,216.16.140.182,68.12.19.91,0.515,0,-0.036,0.823,failure-FarCongLower-NotSignificant,0.847,0.883,0.024,0.016,11_01_2017_11_30_2017,65392,16,229217139,37469,277,32428,1012259,113615036
msy-us,NETFLIX Netflix Streaming Inc.,2906,23.246.24.10,68.1.4.252,1,0,-0.002,-0.362,failure-FarCongLower-NotSignificant,0.076,0.078,0.438,0.517,11_01_2017_11_30_2017,297050,1307,5157137331,26796977,75,98941,1351319,1727971465
msy-us,NETFLIX Netflix Streaming Inc.,2906,23.246.25.10,68.1.1.14,1,0,0.056,0.081,failure-NearCongLower-Significant,0.092,0.036,0.011,0.123,11_01_2017_11_30_2017,87763,10,1807032375,2228150,81,87679,652527,1806584705
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.97,68.1.2.109,0,0,0.596,0.128,success-Significant,0.993,0.397,0.865,0.552,05_01_2017_05_31_2017,504389,4399,5762334855,31998016,2332,232563,11949263,3001656677
msy-us,LEVEL3 Level 3 Communications,3356,4.59.34.37,68.11.14.136,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,LEVEL3 Level 3 Communications,3356,4.59.34.41,68.1.4.133,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,LEVEL3 Level 3 Communications,3356,4.35.186.61,68.1.5.134,0.785,0,-0.139,83.844,failure-FarCongLower-NotSignificant,84.063,84.202,0.219,0.22,11_01_2017_11_30_2017,37813,83,765041020,1689667,4146,786,75695304,14202414
msy-us,LEVEL3 Level 3 Communications,3356,4.59.32.101,68.11.14.136,1,1,0,1.004,failure-FarCongLower-NotSignificant,0.004,0.004,-1,-1,11_01_2017_11_30_2017,-1,-1,-1,-1,2,44990,20638,530242018
msy-us,LEVEL3 Level 3 Communications,3356,4.59.34.41,68.1.4.133,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,11_01_2017_11_30_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,LEVEL3 Level 3 Communications,3356,4.71.122.21,68.1.2.109,1,0,0.54,0.179,success-CorrelationNotSignificant,0.957,0.417,0.778,0.553,05_01_2017_05_31_2017,550657,4315,6060135650,33723146,2574,266363,13219598,3153242897
msy-us,AMAZON-02 - Amazon.com Inc.,16509,52.95.218.94,68.1.2.121,1,0.02,0.293,0.053,success-CorrelationNotSignificant,0.762,0.469,0.709,0.374,05_01_2017_05_31_2017,256759,1834,1761012607,6619627,2577,335832,9122574,1937401512
msy-us,MFNX MFN - Metromedia Fiber Network,6461,64.125.12.165,68.1.2.109,1,1,0.087,1.586,success-NoPower,0.586,0.499,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,595,100880,5109853,1018712084
msy-us,WVFIBER-1 - WV FIBER,19151,64.127.128.129,68.1.2.109,1,0,0.221,-0.213,success-CorrelationNotSignificant,0.865,0.644,1.078,0.553,05_01_2017_05_31_2017,505888,5514,4766096529,26518455,2803,321191,19286814,2973660789
msy-us,NETFLIX Netflix Streaming Inc.,2906,68.105.30.125,68.1.4.133,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,CW Cable and Wireless Worldwide plc,1273,68.105.30.127,68.1.2.121,1,0,0.411,2.019,success-CorrelationNotSignificant,2.245,1.834,0.226,0.375,05_01_2017_05_31_2017,78972,179,576209795,2166370,1805,78596,10777405,576755302
msy-us,AOL-ATDN - AOL Transit Data Network,1668,68.105.30.18,68.1.2.121,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,AKAMAI-ASN1 Akamai International B.V.,20940,68.105.30.206,68.1.4.42,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,APPLE Apple Inc,714,68.105.30.210,68.1.4.42,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,MFNX MFN - Metromedia Fiber Network,6461,68.105.30.22,68.1.2.121,1,0.006,0.554,0.122,success-CorrelationNotSignificant,1.067,0.513,0.945,0.375,05_01_2017_05_31_2017,175798,1677,2396041043,9012559,764,70865,4084184,792338599
msy-us,AMAZON-02 - Amazon.com Inc.,16509,68.105.30.238,68.1.4.42,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,AKAMAI-ASN1 Akamai International B.V.,20940,68.105.30.58,68.1.2.109,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,05_01_2017_05_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,AKAMAI-ASN1 Akamai International B.V.,20940,68.105.30.62,68.1.2.109,1,0,0.473,0.177,success-CorrelationNotSignificant,0.874,0.401,0.697,0.553,05_01_2017_05_31_2017,445308,3126,4234757078,23563854,1973,223643,8878707,2205975557
msy-us,MFNX MFN - Metromedia Fiber Network,6461,68.105.31.102,68.1.5.157,1,0.719,-0.001,-0.027,failure-FarCongLower-NotSignificant,0.375,0.376,0.402,0.444,05_01_2017_05_31_2017,88010,355,923301902,4114088,53,14067,1025083,271369671
msy-us,AMAZON-02 - Amazon.com Inc.,16509,68.105.31.114,68.1.5.161,1,0,0.996,1.249,success-CorrelationNotSignificant,1.638,0.642,0.389,0.553,05_01_2017_05_31_2017,42229,165,735148244,4089327,366,21975,3382428,523824645
msy-us,AMAZON-02 - Amazon.com Inc.,16509,52.95.218.214,68.1.4.252,0,0,0.01,-0.416,failure-NearCongLower-Significant,0.016,0.006,0.432,0.517,11_01_2017_11_30_2017,183047,795,414665890,2154777,19,121329,12131,211875759
msy-us,AMAZON-02 - Amazon.com Inc.,16509,52.95.218.216,68.1.1.14,0.704,0.686,0.001,-0.003,failure-NearCongLower-NotSignificant,0.015,0.014,0.018,0.123,11_01_2017_11_30_2017,55999,10,97487427,120260,17,111982,17881,127253492
msy-us,AMAZON-02 - Amazon.com Inc.,16509,52.95.218.94,68.1.2.121,1,0,-0.09,-0.037,failure-FarCongLower-NotSignificant,0.007,0.097,0.044,0.073,11_01_2017_11_30_2017,125001,55,791270916,576022,6,91856,523562,537485393
msy-us,AOL-ATDN - AOL Transit Data Network,1668,68.105.30.18,68.1.2.121,1,1,-0.075,1,failure-FarCongLower-NotSignificant,0,0.075,-1,-1,11_01_2017_11_30_2017,-1,-1,-1,-1,0,23610,1046106,1386158260
msy-us,AKAMAI-ASN1 Akamai International B.V.,20940,68.105.30.206,68.1.4.42,1,1,-0.013,1,failure-FarCongLower-NotSignificant,0,0.013,-1,-1,11_01_2017_11_30_2017,-1,-1,-1,-1,0,14004,174110,1319108458
msy-us,AMAZON-02 - Amazon.com Inc.,16509,68.105.30.238,68.1.4.42,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,11_01_2017_11_30_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,AKAMAI-ASN1 Akamai International B.V.,20940,68.105.31.126,68.1.5.157,1,0.274,0.513,0.08,success-NoPower,0.779,0.266,0.699,0.444,05_01_2017_05_31_2017,87309,615,1081048717,4817774,119,15154,847873,317577303
msy-us,MFNX MFN - Metromedia Fiber Network,6461,68.105.31.102,68.1.5.157,0.342,0.166,-0.01,-0.016,failure-FarCongLower-NotSignificant,0.014,0.024,0.03,0.089,11_01_2017_11_30_2017,128836,39,466597928,415236,4,28638,28133,117041961
msy-us,APPLE Apple Inc,714,68.105.31.146,68.1.0.68,1,0.87,3.432,0.072,success-NoPower,4.06,0.628,3.988,0.436,05_01_2017_05_31_2017,7849,326,1229271979,5385577,122,2883,1929130,305283813
msy-us,AMAZON-02 - Amazon.com Inc.,16509,68.105.31.114,68.1.5.161,1,1,-0.035,-0.002,failure-FarCongLower-NotSignificant,0.01,0.045,0.012,0.049,11_01_2017_11_30_2017,51689,6,355273753,175944,2,19610,135376,301359142
msy-us,AMAZON-02 - Amazon.com Inc.,16509,68.105.31.150,68.1.0.68,1,0.053,5.932,0.864,success-NoPower,6.344,0.412,5.48,0.436,05_01_2017_05_31_2017,5623,326,786513579,3445688,357,5270,3145929,760221340
msy-us,AKAMAI-ASN1 Akamai International B.V.,20940,68.105.31.194,68.1.0.254,1,0.43,-0.531,-0.007,failure-FarCongLower-NotSignificant,0.019,0.55,0.026,0.504,05_01_2017_05_31_2017,89445,23,729845588,3699967,17,88721,3683593,665844274
